Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
90,Alex Caruso\carusal01,SG,24,LAL,2,5,1.8,,,,21.1,0.0,10.2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.116,,-1.9,-1.3,-3.2,0.0
91,Omri Casspi\casspom01,SF,30,MEM,34,483,15.3,.598,.295,.384,3.5,22.1,12.6,8.8,1.6,1.8,11.0,18.2,,0.5,0.6,1.1,.111,,-2.0,0.1,-1.9,0.0
92,Willie Cauley-Stein\caulewi01,C,25,SAC,46,1312,18.0,.539,.002,.301,8.7,23.9,16.1,13.5,2.0,2.0,9.4,20.0,,1.8,1.7,3.5,.127,,-0.4,2.0,1.6,1.2
93,Troy Caupain\caupatr01,PG,23,ORL,2,9,33.4,.625,.500,.000,0.0,24.7,12.1,56.6,5.5,0.0,0.0,19.7,,0.1,0.0,0.1,.387,,9.7,2.0,11.8,0.0
94,Tyler Cavanaugh\cavanty01,PF,24,UTA,4,9,1.1,.250,.500,.000,12.3,12.0,12.1,0.0,0.0,0.0,0.0,19.2,,0.0,0.0,0.0,-0.124,,-9.4,-6.6,-16.0,0.0
95,Tyson Chandler\chandty01,C,36,TOT,42,749,12.5,.638,.011,.777,12.0,25.5,18.9,5.6,1.2,1.9,21.2,8.9,,1.0,1.1,2.2,.138,,-2.2,1.9,-0.3,0.3
95,Tyson Chandler\chandty01,C,36,PHO,7,89,11.8,.653,.000,1.500,8.7,41.4,24.8,9.2,1.1,0.9,26.0,13.1,,0.1,0.1,0.2,.095,,-4.8,0.2,-4.5,-0.1
95,Tyson Chandler\chandty01,C,36,LAL,35,660,12.6,.636,.012,.671,12.5,23.4,18.1,5.1,1.2,2.0,20.3,8.4,,1.0,1.0,2.0,.144,,-1.9,2.2,0.3,0.4
96,Wilson Chandler\chandwi01,PF,31,PHI,32,838,8.7,.544,.543,.098,5.2,13.0,9.3,9.7,1.0,1.5,14.3,11.3,,0.5,0.8,1.2,.071,,-1.0,0.5,-0.5,0.3
97,Marquese Chriss\chrisma01,PF,21,HOU,14,94,2.5,.388,.467,.167,7.0,22.4,14.4,7.7,1.1,2.7,25.5,20.1,,-0.3,0.1,-0.2,-0.124,,-9.2,-0.9,-10.0,-0.2
98,Gary Clark\clarkga01,PF,24,HOU,32,499,9.1,.483,.906,.057,4.0,16.8,10.2,3.9,1.4,3.4,3.6,9.9,,0.3,0.4,0.7,.064,,-2.2,0.3,-1.8,0.0
99,Ian Clark\clarkia01,SG,27,NOP,31,408,5.3,.463,.487,.101,1.3,9.6,5.6,11.9,0.8,0.8,15.6,14.9,,-0.3,0.1,-0.2,-0.026,,-3.7,-2.3,-6.0,-0.4
100,Jordan Clarkson\clarkjo01,SG,26,CLE,46,1225,17.4,.541,.357,.137,3.8,9.8,6.7,15.1,1.4,0.6,9.2,28.6,,1.0,-0.2,0.9,.033,,1.9,-4.0,-2.1,0.0
101,John Collins\collijo01,PF,21,ATL,29,869,21.6,.636,.169,.281,13.3,23.7,18.3,13.6,0.3,1.1,12.7,23.1,,2.3,0.5,2.8,.153,,2.9,-1.2,1.7,0.8
102,Zach Collins\colliza01,C,21,POR,47,884,13.6,.584,.317,.290,7.3,16.2,11.9,7.2,0.9,3.5,14.1,16.4,,1.0,1.0,2.0,.110,,-0.7,1.0,0.4,0.5
103,Darren Collison\collida01,PG,31,IND,45,1234,15.1,.553,.313,.246,1.9,9.7,5.9,27.2,2.7,0.6,15.0,15.8,,1.7,1.9,3.6,.141,,0.3,0.6,0.9,0.9
104,Mike Conley\conlemi01,PG,31,MEM,45,1504,19.8,.547,.375,.319,1.9,9.4,5.6,31.7,1.9,1.0,9.0,27.3,,2.6,1.5,4.1,.130,,3.5,-1.3,2.2,1.6
105,Pat Connaughton\connapa01,SG,26,MIL,29,512,13.1,.519,.601,.127,5.2,15.5,10.6,14.9,1.2,2.5,9.2,15.2,,0.5,0.8,1.4,.129,,-0.3,1.3,1.0,0.4
106,Quinn Cook\cookqu01,PG,25,GSW,40,599,14.8,.584,.439,.079,2.4,13.2,8.0,16.6,1.1,0.4,10.6,20.9,,0.8,0.4,1.2,.098,,0.8,-2.7,-1.9,0.0
107,DeMarcus Cousins\couside01,C,28,GSW,1,15,29.9,.589,.364,.182,7.5,34.7,21.6,34.9,3.2,5.7,7.8,36.7,,0.1,0.0,0.1,.286,,8.2,4.8,13.0,0.1
108,Robert Covington\covinro01,SF,28,TOT,35,1203,13.4,.580,.622,.246,2.5,14.6,8.6,5.3,2.9,3.2,10.5,15.7,,0.9,1.7,2.6,.103,,0.5,2.1,2.6,1.4
108,Robert Covington\covinro01,SF,28,PHI,13,440,11.0,.578,.658,.197,1.8,14.1,8.1,4.3,2.6,4.1,14.8,14.3,,0.0,0.7,0.7,.078,,-1.2,2.4,1.2,0.3
108,Robert Covington\covinro01,SF,28,MIN,22,763,14.8,.580,.604,.269,2.9,14.9,8.8,5.9,3.2,2.7,8.4,16.5,,0.9,1.0,1.9,.117,,1.5,2.0,3.5,1.1
109,Allen Crabbe\crabbal01,SG,26,BRK,28,732,7.5,.501,.677,.153,1.9,12.5,7.2,5.8,1.1,0.9,10.8,17.4,,-0.2,0.5,0.2,.016,,-2.0,-1.1,-3.1,-0.2
